date,NDVI,sensor
2023-08-16,0.660747078259862,Landsat
2023-08-24,0.5209644292539375,Landsat
2023-09-01,0.7256690867848421,Landsat
2023-09-01,0.726749918333446,Landsat
2023-09-09,0.728544499791758,Landsat
2023-09-09,0.7304697436303278,Landsat
2023-09-17,0.737442854721463,Landsat
2023-09-17,0.7336833018887114,Landsat
2023-09-25,0.5587187504584921,Landsat
2023-10-03,0.7249014329343999,Landsat
2023-10-03,0.7209149664145207,Landsat
2023-10-11,0.7497669403839866,Landsat
2023-10-11,0.7497594211919713,Landsat
2023-10-19,0.7248028665705438,Landsat
2023-10-19,0.7267403098581319,Landsat
2023-10-27,0.7289863823325311,Landsat
2023-10-27,0.7298684840033487,Landsat
2023-11-12,0.6847093119610348,Landsat
2023-11-28,0.7699152394254908,Landsat
2023-11-28,0.7772079453242398,Landsat
2023-12-06,0.737672991520042,Landsat
2023-12-06,0.7493131188250344,Landsat
2023-12-14,0.7840135639390402,Landsat
2023-12-14,0.7602239938973534,Landsat
2023-12-22,0.7193248831697397,Landsat
2023-12-22,0.7189242547737021,Landsat
2023-12-30,0.7431002476663879,Landsat
2023-12-30,0.742297479020002,Landsat
2024-01-15,0.702420575762466,Landsat
2024-01-15,0.7040442823009918,Landsat
2024-01-23,0.6967964641617911,Landsat
2024-01-23,0.6977876137880742,Landsat
2024-01-31,0.6792179239269378,Landsat
2024-01-31,0.6801402137637286,Landsat
2024-02-08,0.638967339522646,Landsat
2024-02-08,0.643188613783034,Landsat
2024-02-16,0.6374416793575219,Landsat
2024-02-16,0.6391072825203349,Landsat
2024-02-24,0.5969070350494641,Landsat
2024-02-24,0.5998153321482007,Landsat
2024-03-03,0.5603467750211906,Landsat
2024-03-03,0.5643474769662461,Landsat
2024-03-11,0.5163520908709351,Landsat
2024-03-11,0.5285738452781161,Landsat
2024-03-19,0.48357506190147603,Landsat
2024-03-19,0.4876643322044786,Landsat
2024-03-27,0.4674173614839299,Landsat
2024-03-27,0.4704789530224846,Landsat
2024-04-04,0.44030058071001793,Landsat
2024-04-04,0.44195419109932843,Landsat
2024-04-12,0.41219989869274914,Landsat
2024-04-12,0.4136528934006803,Landsat
2024-04-28,0.40632268167897917,Landsat
2024-04-28,0.40912971356939326,Landsat
2024-05-06,0.40454659265676046,Landsat
2024-05-06,0.4064884367544952,Landsat
2024-05-22,0.5176900267198724,Landsat
2024-05-22,0.5099155474157989,Landsat
2024-05-30,0.4863322387108859,Landsat
2024-05-30,0.4876570217823095,Landsat
2024-06-23,0.6765471511910759,Landsat
2024-06-23,0.6769640184369821,Landsat
2024-08-26,0.6509875579609873,Landsat
2024-08-26,0.6513211360153375,Landsat
2024-09-11,0.7294872345046304,Landsat
2024-09-11,0.7297617693548275,Landsat
2024-09-19,0.6743624554656197,Landsat
2024-10-05,0.732495114704812,Landsat
2024-10-05,0.7232560937685327,Landsat
2024-10-29,0.7308731465770469,Landsat
2024-10-29,0.7293084465411293,Landsat
2024-11-22,0.7657425439269208,Landsat
2024-11-22,0.757449958559808,Landsat
2024-12-08,0.7400304932224983,Landsat
2024-12-08,0.742504057321164,Landsat
2024-12-16,0.7298646431708719,Landsat
2024-12-16,0.7116766306993068,Landsat
2025-01-01,0.7153143677186129,Landsat
2025-01-01,0.719075514210729,Landsat
2025-01-09,0.6810052288441473,Landsat
2025-01-09,0.6853289941323218,Landsat
2025-01-25,0.7020610293073606,Landsat
2025-01-25,0.7046947302326778,Landsat
2025-02-02,0.7022245159054165,Landsat
2025-02-02,0.7006844742632944,Landsat
2025-02-10,0.6658804220942469,Landsat
2025-02-10,0.6678479758412255,Landsat
2025-02-18,0.6354899396618165,Landsat
2025-02-18,0.6383773192888937,Landsat
2025-02-26,0.6201385857687378,Landsat
2025-02-26,0.6221127947600952,Landsat
2025-03-06,0.5654844319976978,Landsat
2025-03-06,0.5696745334993782,Landsat
2025-03-14,0.5469779950573191,Landsat
2025-03-14,0.5505081412567673,Landsat
2025-03-22,0.5262015413624473,Landsat
2025-03-22,0.5299329737567094,Landsat
2025-03-30,0.4778604568694585,Landsat
2025-03-30,0.48004597850096975,Landsat
2025-04-07,0.48741374814743305,Landsat
2025-04-07,0.48974330622213946,Landsat
2025-04-15,0.471974511285152,Landsat
2025-04-15,0.4764737725318614,Landsat
2025-04-23,0.49159304396640335,Landsat
2025-04-23,0.4928543377783555,Landsat
2025-05-01,0.49473176999067453,Landsat
2025-05-01,0.5009103894448519,Landsat
2025-05-09,0.5161933595133382,Landsat
2025-05-09,0.5188190699343853,Landsat
2025-05-17,0.4890492746546185,Landsat
2025-05-17,0.523214554348026,Landsat
2025-06-02,0.6378204722345309,Landsat
2025-06-02,0.6402995419596043,Landsat
2025-06-10,0.6196431181770843,Landsat
2025-06-10,0.6210978764300908,Landsat
2025-06-18,0.6148817259349902,Landsat
2025-06-18,0.6323563301832552,Landsat
2025-07-04,0.604364847127573,Landsat
2025-07-04,0.6076967546038802,Landsat
2025-07-12,0.6541738582888477,Landsat
2025-07-12,0.6527255778156422,Landsat
2025-08-05,0.7454321563628256,Landsat
2025-08-05,0.7361492143597445,Landsat
2025-08-21,0.7415046843044671,Landsat
2025-08-21,0.7426835445543363,Landsat
2025-09-06,0.7459361544338895,Landsat
2025-09-06,0.746049379221134,Landsat
2025-10-08,0.748044765597075,Landsat
2025-10-08,0.9494340230624404,Landsat
2025-11-01,0.75938652736482,Landsat
2025-11-01,0.7636012417394481,Landsat
2025-11-09,0.7533343130223499,Landsat
2025-11-09,0.7542510610635205,Landsat
2025-11-25,0.7505103524278922,Landsat
2025-11-25,0.7463614723718783,Landsat
2025-12-11,0.7231617239537848,Landsat
2025-12-11,0.7210796881729304,Landsat
2025-12-19,0.7178750307201767,Landsat
2025-12-19,0.7194745788129505,Landsat
2025-12-27,0.7192584082552475,Landsat
2025-12-27,0.725296479595322,Landsat
2026-01-04,0.7112707554666878,Landsat
2026-01-04,0.7122121388525477,Landsat
2026-01-20,0.6976621114198939,Landsat
2026-01-20,0.7003277132193032,Landsat
2026-01-28,0.6756342268044147,Landsat
2026-01-28,0.6769854842125395,Landsat
2026-02-05,0.673762042659463,Landsat
2026-02-05,0.6769217651098526,Landsat
2026-02-13,0.6601656903578285,Landsat
2026-02-13,0.6578312498711506,Landsat
2026-02-21,0.591021509156092,Landsat
2026-02-21,0.5883209259081728,Landsat
2026-03-01,0.5919498028622174,Landsat
2026-03-01,0.5920113865972448,Landsat
2026-03-09,0.5991011042653527,Landsat
2026-03-09,0.6023338216922525,Landsat
2026-03-17,0.5106301801619828,Landsat
2026-03-17,0.5168703844765835,Landsat
